siRNA Identifier	Gene Identifier	Gene Symbol	Gene Description	Deviation	Overall Strong Inhibitor Gene Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1
SI02780442	ENSG00000198218	QRICH1	glutamine-rich 1	2.8625	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00620732	ENSG00000198270	TMEM116	transmembrane protein 116	2.5696	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00774739	ENSG00000198298	ZNF485	zinc finger protein 485	4.0343	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00455063	ENSG00000198420	FAM115A	"family with sequence similarity 115, member A"	1.4909	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00092911	ENSG00000198668	CALM3	"calmodulin 1 (phosphorylase kinase, delta)"	1.6262	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00453390	ENSG00000198677	TTC37	tetratricopeptide repeat domain 37	2.4902	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00456463	ENSG00000198690	FAN1	FANCD2/FANCI-associated nuclease 1	2.6646	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00637854	ENSG00000198715	C1orf85	chromosome 1 open reading frame 85	2.4144	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00453663	ENSG00000198718	FAM179B	"family with sequence similarity 179, member B"	1.4976	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00083909	ENSG00000198752	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	2.6618	yes	yes	multiple replicates of reagent	strong inhibition of secretion
141211	ENSG00000198783	ZNF830	zinc finger protein 830	2.1145	yes	yes	multiple replicates of reagent	strong inhibition of secretion
141212	ENSG00000198783	ZNF830	zinc finger protein 830	2.8844	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00651651	ENSG00000198788	MUC2	"mucin 2, oligomeric mucus/gel-forming"	2.4399	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02665516	ENSG00000198796	ALPK2	alpha-kinase 2	2.9074	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03156013	ENSG00000198848	CES1	similar to Liver carboxylesterase 1 precursor (Acyl coenzyme A:cholesterol acyltransferase) (ACAT) (Monocyte/macrophage serine esterase) (HMSE) (Serine esterase 1) (Brain carboxylesterase hBr1) (Triacylglycerol hydrolase) (TGH) (Egasyn)...	2.0883	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00762314	ENSG00000198876	DCAF12	DDB1 and CUL4 associated factor 12	2.3557	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00009296	ENSG00000198910	L1CAM	L1 cell adhesion molecule	4.6859	yes	yes	multiple replicates of reagent	strong inhibition of secretion
1370	ENSG00000198948	MFAP3L	microfibrillar-associated protein 3-like		yes			
1275	ENSG00000198948	MFAP3L	microfibrillar-associated protein 3-like		yes			
SI00469182	ENSG00000204003	LCN6	lipocalin 6	1.6067	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00390740	ENSG00000206530	WDR52	WD repeat domain 52	3.9562	yes	yes	multiple replicates of reagent	strong inhibition of secretion
236493	ENSG00000213123	TCTEX1D2	Tctex1 domain containing 2	1.5169	yes	yes	multiple replicates of reagent	strong inhibition of secretion
236492	ENSG00000213123	TCTEX1D2	Tctex1 domain containing 2	1.8564	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00638232	ENSG00000213123	TCTEX1D2	Tctex1 domain containing 2	1.7841	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03091746	ENSG00000213420	GPC2	glypican 2 (cerebroglycan)	1.0038	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00773486	ENSG00000215421	ZNF407	zinc finger protein 407	1.732	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00055818	ENSG00000215788	TNFRSF25	"tumor necrosis factor receptor superfamily, member 25"	1.9524	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03069934	ENSG00000225830	ERCC6	"excision repair cross-complementing rodent repair deficiency, complementation group 6"	2.2794	yes	yes	multiple replicates of reagent	strong inhibition of secretion
149550	ENSG00000230797	YY2	YY2 transcription factor	2.8178	yes	yes	multiple replicates of reagent	strong inhibition of secretion
149551	ENSG00000230797	YY2	YY2 transcription factor	2.9714	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00620221	ENSG00000236287	ZBED5	"zinc finger, BED-type containing 5"	1.8377	yes	yes	multiple replicates of reagent	strong inhibition of secretion
123275	ENSG00000236287	ZBED5	"zinc finger, BED-type containing 5"		yes			
123274	ENSG00000236287	ZBED5	"zinc finger, BED-type containing 5"		yes			
SI00775313	ENSG00000243943	ZNF512	zinc finger protein 512	1.6332	yes	yes	multiple replicates of reagent	strong inhibition of secretion
229350	ENSG00000248874	C5orf17	chromosome 5 open reading frame 17	2.0324	yes	yes	multiple replicates of reagent	strong inhibition of secretion
229351	ENSG00000248874	C5orf17	chromosome 5 open reading frame 17	2.7582	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00364973	ENSG00000253304	TMEM200B	TTMB protein	1.8779	yes	yes	multiple replicates of reagent	strong inhibition of secretion
