Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Experimental Condition [RNA interference]	Well_Experimental Condition [RNA interference]	Percentage multipolar spindle - Z-score	Average no. of spindle poles per cell per well - Z-score	Cell number - Z-score	Mitotic Index - Z-score	Percentage Multinucleate - Z-score	ch-TOG Multipolar Spindle Phenotype Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
N10	L-011081-00	4210	MEFV	ch-TOG shRNA	N10_ch-TOG shRNA	-0.553215712	-0.183378761	-0.241633953	0.369030698	-0.212918166					
N10	L-011081-00	4210	MEFV	non-silencing shRNA	N10_non-silencing shRNA	0.481838196	0.300402025	0.352263138	-0.194425191	-0.162740793					
N11	L-003869-00	324	APC	ch-TOG shRNA	N11_ch-TOG shRNA	-0.763197708	-0.706227734	0.697077144	-0.843670736	-0.302017248					
N11	L-003869-00	324	APC	non-silencing shRNA	N11_non-silencing shRNA	0.378940515	0.924420809	0.282041554	-0.186690617	-0.138123408					
N12	L-019330-00	4647	MYO7A	ch-TOG shRNA	N12_ch-TOG shRNA	-0.308053941	-0.210457103	1.316651032	-0.309018196	-0.433262123					
N12	L-019330-00	4647	MYO7A	non-silencing shRNA	N12_non-silencing shRNA	-0.194992013	-0.824938281	0.131409249	-0.157149545	-0.219918516					
N13	L-005390-00	55872	TOPK	ch-TOG shRNA	N13_ch-TOG shRNA	0.135131268	0.142092959	-0.376948159	-0.393281806	-0.218003349					
N13	L-005390-00	55872	TOPK	non-silencing shRNA	N13_non-silencing shRNA	0.07786487	0.290522753	0.089844166	-0.192318856	-0.224473182					
N14	L-019466-00	4739	NEDD9	ch-TOG shRNA	N14_ch-TOG shRNA	-0.845101828	-0.578698705	1.114217752	-1.042865685	-0.52757369					
N14	L-019466-00	4739	NEDD9	non-silencing shRNA	N14_non-silencing shRNA	-0.247130612	-0.9549902	0.32892579	-0.116058544	-0.278625047					
N15	L-019919-01	4643	MYO1E	ch-TOG shRNA	N15_ch-TOG shRNA	-0.149825431	-0.004598249	-0.206202633	-0.236550861	-0.138797969					
N15	L-019919-01	4643	MYO1E	non-silencing shRNA	N15_non-silencing shRNA	-0.51638884	-0.697950508	-0.049384579	-0.214928556	-0.214478178					
N16	L-012419-00	27019	DNAI1	ch-TOG shRNA	N16_ch-TOG shRNA	0.700304468	0.545943328	0.015282731	0.114426862	-0.232267557					
N16	L-012419-00	27019	DNAI1	non-silencing shRNA	N16_non-silencing shRNA	-0.673762518	-0.947369214	0.499958305	-0.209315689	-0.119891492					
N17	L-016095-00	51433	ANAPC5	ch-TOG shRNA	N17_ch-TOG shRNA	-1.015535527	-0.873024377	-1.297922528	0.8410517	-0.618920303					
N17	L-016095-00	51433	ANAPC5	non-silencing shRNA	N17_non-silencing shRNA	-0.00584496	0.375286068	-0.150484927	0.006417806	-0.201596855					
N18	L-020408-02	29911	HOOK2	ch-TOG shRNA	N18_ch-TOG shRNA	-1.128818367	-0.831053434	0.479664889	-1.099183641	-0.72515634					
N18	L-020408-02	29911	HOOK2	non-silencing shRNA	N18_non-silencing shRNA	-0.306140173	1.197322224	0.015750512	-0.137591028	-0.177307975					
N19	L-012488-00	4137	MAPT	ch-TOG shRNA	N19_ch-TOG shRNA	-0.307743488	-0.052139484	-1.212469894	-0.306523005	-0.148724994					
N19	L-012488-00	4137	MAPT	non-silencing shRNA	N19_non-silencing shRNA	0.032821846	-0.728391577	0.213771641	-0.176859721	-0.251835526					
N2				ch-TOG shRNA	N2_ch-TOG shRNA	0.028216189	-0.025510093	-0.224371106	0.710820753	0.031647709					
N2				non-silencing shRNA	N2_non-silencing shRNA	-0.443070679	0.387183822	-0.145093458	-0.120337355	-0.213684145					
N20	L-010339-00	5119	PCOLN3	ch-TOG shRNA	N20_ch-TOG shRNA	0.032362637	0.003263647	-0.654631956	-0.051578053	-0.222077916					
N20	L-010339-00	5119	PCOLN3	non-silencing shRNA	N20_non-silencing shRNA	-0.353167832	0.557150142	-0.061590888	-0.211306771	-0.200881536					
N21	L-011831-00	1068	CETN1	ch-TOG shRNA	N21_ch-TOG shRNA	-0.572429622	-0.216709322	-0.79777353	-0.142792342	-0.517899042					
N21	L-011831-00	1068	CETN1	non-silencing shRNA	N21_non-silencing shRNA	-0.07670319	0.661024108	-0.360210296	-0.112495564	-0.275710405					
N22	L-019321-00	4644	MYO5A	ch-TOG shRNA	N22_ch-TOG shRNA	0.196855094	0.10471419	-1.036953486	0.484458884	0.061021538					
N22	L-019321-00	4644	MYO5A	non-silencing shRNA	N22_non-silencing shRNA	-0.501709378	0.368945935	0.168090564	-0.10829529	-0.151922258					
N23				ch-TOG shRNA	N23_ch-TOG shRNA	0.912234283	0.482579163	-0.760079091	0.030750732	0.043012504					
N23				non-silencing shRNA	N23_non-silencing shRNA	-0.574734667	0.191638619	-0.423665053	-0.159308741	-0.212741997					
N3	L-019573-00	6795	AURKC	ch-TOG shRNA	N3_ch-TOG shRNA	-0.534087463	-0.379406917	-0.250574169	-0.107013739	0.453028797					
N3	L-019573-00	6795	AURKC	non-silencing shRNA	N3_non-silencing shRNA	-0.347582112	0.181408958	-0.387087917	-0.15323302	-0.149129199					
N4	L-032676-01	8632	DNAH17	ch-TOG shRNA	N4_ch-TOG shRNA	-0.381222119	-0.300313962	1.199143048	-0.735810751	-0.40115769					
N4	L-032676-01	8632	DNAH17	non-silencing shRNA	N4_non-silencing shRNA	0.392477289	0.068765719	0.189776921	-0.270416856	-0.180668661					
N5	L-009241-01	1770	DNAH9	ch-TOG shRNA	N5_ch-TOG shRNA	-0.621930902	-0.357624279	-0.528146336	0.355731111	-0.172305526					
N5	L-009241-01	1770	DNAH9	non-silencing shRNA	N5_non-silencing shRNA	-0.640199009	0.66236945	0.090378689	-0.104142465	-0.16796089					
N6	L-013618-00	23499	MACF1	ch-TOG shRNA	N6_ch-TOG shRNA	-0.701611903	-0.534632665	-0.25847103	0.233422427	-0.470176276					
N6	L-013618-00	23499	MACF1	non-silencing shRNA	N6_non-silencing shRNA	0.009508191	0.66002428	-0.524752954	-0.076154061	-0.147341635					
N7	L-012874-00	1639	DCTN1	ch-TOG shRNA	N7_ch-TOG shRNA	-0.90933367	-0.664199172	-1.053455042	1.093635828	-0.399765673					
N7	L-012874-00	1639	DCTN1	non-silencing shRNA	N7_non-silencing shRNA	-0.071017242	1.209719211	0.112465456	-0.188664508	-0.122133245					
N8	L-011832-00	1070	CETN3	ch-TOG shRNA	N8_ch-TOG shRNA	0.360589702	0.266708557	-0.489967325	1.471234703	-0.185865786					
N8	L-011832-00	1070	CETN3	non-silencing shRNA	N8_non-silencing shRNA	-0.508107149	-0.932113859	0.055823019	-0.011846225	-0.226940767					
N9	L-010075-01	1769	DNAH8	ch-TOG shRNA	N9_ch-TOG shRNA	-0.052800512	-0.01094692	-0.429925019	-0.154783904	-0.286259923					
N9	L-010075-01	1769	DNAH8	non-silencing shRNA	N9_non-silencing shRNA	-0.03906766	0.126191528	0.184977324	-0.157329342	-0.128619987					
O10				ch-TOG shRNA	O10_ch-TOG shRNA	-0.038943021	0.164540236	-0.337028022	-0.474245	0.120496206					
O10				non-silencing shRNA	O10_non-silencing shRNA	-0.299925907	0.936733821	-0.156138397	-0.139967142	-0.169617883					
O11				ch-TOG shRNA	O11_ch-TOG shRNA	0.212030659	0.287782929	-0.086309208	-0.330473581	0.125033388					
O11				non-silencing shRNA	O11_non-silencing shRNA	-0.540920525	0.273511293	-0.363141802	-0.073925161	-0.16959473					
O12				ch-TOG shRNA	O12_ch-TOG shRNA	0.3148432	0.268102411	-0.30291206	-0.989821593	0.142722821					
O12				non-silencing shRNA	O12_non-silencing shRNA	-0.146005122	-0.358375434	-0.329347091	-0.129855895	-0.169168414					
O13				ch-TOG shRNA	O13_ch-TOG shRNA	0.606724075	0.574199571	-0.364621283	-0.545919248	0.143600439					
O13				non-silencing shRNA	O13_non-silencing shRNA	-0.426209372	-0.910459364	0.053489017	-0.125883737	-0.158521913					
O14				ch-TOG shRNA	O14_ch-TOG shRNA	0.795740351	0.579779865	-0.295063311	-0.729813244	0.145869361					
O14				non-silencing shRNA	O14_non-silencing shRNA	-0.334404967	-0.149065434	-0.117857217	-0.179719746	-0.152992524					
O15				ch-TOG shRNA	O15_ch-TOG shRNA	0.187849521	0.329372345	-0.594786183	-0.213970524	0.159496957					
O15				non-silencing shRNA	O15_non-silencing shRNA	-0.307512737	-0.610964367	-0.23338125	-0.083932169	-0.150018383					
O16				ch-TOG shRNA	O16_ch-TOG shRNA	0.079467265	0.280553101	-0.597869396	-0.476792059	0.199477238					
O16				non-silencing shRNA	O16_non-silencing shRNA	-0.17799114	-0.303149112	-0.06102643	-0.199439347	-0.140150306					
O17				ch-TOG shRNA	O17_ch-TOG shRNA	0.594590913	0.528845196	-0.466900303	-0.648833051	0.209546923					
O17				non-silencing shRNA	O17_non-silencing shRNA	-0.037139706	-1.054017011	-0.053921582	-0.180334115	-0.134450809					
O18				ch-TOG shRNA	O18_ch-TOG shRNA	0.724720284	0.529051875	-0.396037664	-1.016922526	0.221550407					
O18				non-silencing shRNA	O18_non-silencing shRNA	-0.297611807	-0.61019901	-0.090071486	-0.159911291	-0.130828214					
O19				ch-TOG shRNA	O19_ch-TOG shRNA	0.511428394	0.223052955	-0.29715065	-0.725598798	0.241063358					
O19				non-silencing shRNA	O19_non-silencing shRNA	-0.182614411	0.067263194	-0.339221918	-0.057390961	-0.128410946					
O2				ch-TOG shRNA	O2_ch-TOG shRNA	0.662679921	0.466493409	-0.575750135	-0.677485667	0.055177126					
O2				non-silencing shRNA	O2_non-silencing shRNA	0.28389766	0.055597016	-0.554540889	-0.058313097	-0.211854166					
O20				ch-TOG shRNA	O20_ch-TOG shRNA	-0.136898438	-0.214359166	-0.504264565	-0.932897591	0.250983753					
O20				non-silencing shRNA	O20_non-silencing shRNA	-0.393637257	0.387086599	-0.14194426	-0.17137082	-0.114886839					
O21				ch-TOG shRNA	O21_ch-TOG shRNA	0.337258454	0.336658809	-0.101367739	-0.887116996	0.253013092					
O21				non-silencing shRNA	O21_non-silencing shRNA	-0.753798368	-0.343274145	-0.259423667	-0.08524897	-0.112187856					
O22				ch-TOG shRNA	O22_ch-TOG shRNA	0.372727772	0.206510405	-0.436378225	-1.043923656	0.254190244					
O22				non-silencing shRNA	O22_non-silencing shRNA	-0.002895168	0.597334354	-0.31252272	-0.057843604	-0.100328483					
O23				ch-TOG shRNA	O23_ch-TOG shRNA	0.923070783	0.667349268	-0.64676717	-0.99998303	0.334474777					
O23				non-silencing shRNA	O23_non-silencing shRNA	-0.649197094	0.179593916	0.06570407	-0.145390374	-0.075656773					
O3				ch-TOG shRNA	O3_ch-TOG shRNA	0.30457601	0.390448526	-0.394738344	-0.576629834	0.059819021					
O3				non-silencing shRNA	O3_non-silencing shRNA	-0.043343604	0.07389122	-0.156705375	-0.124054032	-0.210962178					
O4				ch-TOG shRNA	O4_ch-TOG shRNA	0.426624266	0.520459677	0.057620384	-0.697589971	0.063367974					
O4				non-silencing shRNA	O4_non-silencing shRNA	-0.174276693	0.21852107	-0.248217201	-0.088683228	-0.207117554					
O5				ch-TOG shRNA	O5_ch-TOG shRNA	0.454318361	0.544719561	-0.271932139	0.097097064	0.068377309					
O5				non-silencing shRNA	O5_non-silencing shRNA	0.145033743	0.106664259	-0.082190711	-0.127544587	-0.200558851					
O6				ch-TOG shRNA	O6_ch-TOG shRNA	0.827048744	0.783070759	-0.208279282	-0.503108341	0.068945948					
O6				non-silencing shRNA	O6_non-silencing shRNA	-0.458274651	0.084303803	-0.384458275	-0.064570403	-0.188780124					
O7				ch-TOG shRNA	O7_ch-TOG shRNA	0.565808405	0.51306467	-0.138598988	-0.052254372	0.081104201					
O7				non-silencing shRNA	O7_non-silencing shRNA	-0.230714026	-0.073832977	-0.155538374	-0.094355913	-0.186076238					
O8				ch-TOG shRNA	O8_ch-TOG shRNA	0.306700091	0.32552502	-0.28846577	-0.663958936	0.082996795					
O8				non-silencing shRNA	O8_non-silencing shRNA	-0.42705455	0.056842536	-0.084008861	-0.140136928	-0.17972306					
O9				ch-TOG shRNA	O9_ch-TOG shRNA	0.375910214	0.346738983	-0.213721207	-0.167210157	0.0874291					
O9				non-silencing shRNA	O9_non-silencing shRNA	-0.180485556	0.549444494	0.037966352	-0.118206203	-0.170236277					
