Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-K57033106-048-02-8	BRD-K57033106	TRIPELENNAMINE CITRATE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K57055976-001-02-7	BRD-K57055976	camptothecin	Biomol International Inc.									
BRD-K57244822-001-03-1	BRD-K57244822	5-CHLOROINDOLE-2-CARBOXYLIC ACID	Biomol International Inc.									
BRD-K57398215-001-02-2	BRD-K57398215	IRIGENOL	MicroSource Discovery Systems Inc.									
BRD-K57432881-003-05-1	BRD-K57432881	Tiapride hydrochloride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D020820 (Dyskinesias);MeSH:D010146 (Pain)	UseClass:8080 (nociception agent);UseClass:8120 (psychotropic agent)			
BRD-K57546357-001-01-6	BRD-K57546357	PRUNETIN	MicroSource Discovery Systems Inc.									
BRD-K57569181-001-05-1	BRD-K57569181	Pentoxifylline	Prestwick Chemical Inc.	yes	CBPROTID:1000343 (inhibits Phosphodiesterase)				UseClass:8092 (vasodilator)			
BRD-K57886322-001-03-4	BRD-K57886322	Fluocinonide	Prestwick Chemical Inc.									
BRD-K58220566-001-02-2	BRD-K58220566	TMB-8	Biomol International Inc.									
BRD-K58265391-001-03-6	BRD-K58265391	Meticrane	Prestwick Chemical Inc.									
BRD-K58466253-003-04-1	BRD-K58466253	Palmatine chloride	Prestwick Chemical Inc.									
BRD-K58685305-001-03-0	BRD-K58685305	EMODIN	MicroSource Discovery Systems Inc.									
BRD-K58736316-001-07-9	BRD-K58736316	Epicatechin-(-)	Prestwick Chemical Inc.	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)			
BRD-K58787433-001-05-4	BRD-K58787433	alpha-Santonin	Prestwick Chemical Inc.									
BRD-K58930050-001-01-1	BRD-K58930050	(+)-MK 801	Biomol International Inc.									
BRD-K58930050-050-03-4	BRD-K58930050	Dizocilpine maleate	Prestwick Chemical Inc.									
BRD-K58938839-001-03-8	BRD-K58938839	cyclopamine	Biomol International Inc.									
BRD-K59058766-003-04-5	BRD-K59058766	Chlorprothixene hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D011618 (Psychotic Disorders)	UseClass:8072 (anti-histamine);UseClass:8118 (anti-psychotic (neuroleptic))			
BRD-K59163477-001-02-1	BRD-K59163477	Cisapride	Prestwick Chemical Inc.									
BRD-K59197931-001-02-9	BRD-K59197931	NAPROXEN(+)	MicroSource Discovery Systems Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-K59256312-066-03-3	BRD-K59256312	Gabexate mesilate	Prestwick Chemical Inc.									
BRD-K59272984-001-02-6	BRD-K59272984	DERRUBONE	MicroSource Discovery Systems Inc.									
BRD-K59273480-001-01-5	BRD-K59273480	PROPENTOFYLLINE	MicroSource Discovery Systems Inc.									
BRD-K59284035-001-02-0	BRD-K59284035	CHRYSOPHANOL	MicroSource Discovery Systems Inc.									
BRD-K59294488-001-02-1	BRD-K59294488	RETUSIN 7-METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K59574735-001-02-7	BRD-K59574735	Bestatin	Biomol International Inc.	yes			GO:0004177 (inhibits aminopeptidase activity);GO:0004222 (inhibits metalloendopeptidase activity)					
BRD-K59590127-001-02-9	BRD-K59590127	CHLORPROPHAM	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)			
BRD-K59670716-001-02-6	BRD-K59670716	mitomycin C	Biomol International Inc.									
BRD-K59753853-001-01-5	BRD-K59753853	MDL 29951	Biomol International Inc.									
BRD-K59851896-001-02-4	BRD-K59851896	Calycanthine	Prestwick Chemical Inc.									
BRD-K59983611-001-05-2	BRD-K59983611	Sulfabenzamide	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K60038276-001-02-5	BRD-K60038276	IRBESARTAN	MicroSource Discovery Systems Inc.	yes		GeneID:185 (inhibits AGTR1)		MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-K60174629-001-02-2	BRD-K60174629	Z-prolyl-prolinal	Biomol International Inc.									
BRD-K60184833-001-03-1	BRD-K60184833	TYRPHOSTIN 46	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR);GeneID:5594 (inhibits MAPK1);GeneID:5595 (inhibits MAPK3)	GO:0008283 (inhibits cell proliferation);GO:0006468 (inhibits protein phosphorylation)					
BRD-K60241851-001-02-8	BRD-K60241851	4-NAPHTHALIMIDOBUTYRIC ACID	MicroSource Discovery Systems Inc.									
BRD-K60287130-001-03-2	BRD-K60287130	"5,7-DICHLOROKYNURENIC ACID"	Biomol International Inc.									
BRD-K60302405-001-02-9	BRD-K60302405	alpha-CYANO-4-HYDROXYCINNAMIC ACID	MicroSource Discovery Systems Inc.	yes		GeneID:6566 (inhibits SLC16A1)						
BRD-K60640630-001-03-7	BRD-K60640630	Mometasone furoate	Prestwick Chemical Inc.									
BRD-K60663764-236-02-1	BRD-K60663764	Azlocillin sodium salt	Prestwick Chemical Inc.									
BRD-K60770992-001-01-8	BRD-K60770992	PERGOLIDE METHANESULFONATE	Biomol International Inc.	yes		GeneID:1813 (activates DRD2)		MeSH:D010300 (Parkinson Disease)	UseClass:8114 (neuroprotective agent)			
BRD-K60770992-066-05-2	BRD-K60770992	Pergolide mesylate	Prestwick Chemical Inc.	yes		GeneID:1813 (activates DRD2)		MeSH:D010300 (Parkinson Disease)	UseClass:8114 (neuroprotective agent)			
BRD-K60907894-003-04-5	BRD-K60907894	Adiphenine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8133 (smooth muscle relaxant)			
BRD-K60923938-001-02-8	BRD-K60923938	VERATRIDINE	Biomol International Inc.									
BRD-K60932973-001-01-7	BRD-K60932973	R(+)-6-BROMO-APB	Biomol International Inc.									
BRD-K61236135-001-03-3	BRD-K61236135	"Tiratricol, 3,3',5-triiodothyroacetic acid"	Prestwick Chemical Inc.									
BRD-K61250553-001-02-9	BRD-K61250553	LOPERAMIDE	Biomol International Inc.	yes		GeneID:4988 (activates OPRM1);GeneID:4985 (binds OPRD1)	GO:0005262 (inhibits calcium channel activity)					
BRD-K61250553-003-05-8	BRD-K61250553	Loperamide hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4988 (activates OPRM1);GeneID:4985 (binds OPRD1)	GO:0005262 (inhibits calcium channel activity)					
BRD-K61269089-001-01-4	BRD-K61269089	DAPHNETIN	MicroSource Discovery Systems Inc.	yes			GO:0016209 (activates antioxidant activity);GO:0004691 (inhibits cAMP-dependent protein kinase activity);GO:0005006 (inhibits epidermal growth factor receptor activity);GO:0004672 (inhibits protein kinase activity);GO:0004697 (inhibits protein kinase C activity)					
BRD-K61271364-001-02-4	BRD-K61271364	"1S,9R-HYDRASTINE"	MicroSource Discovery Systems Inc.									
BRD-K61401890-001-02-0	BRD-K61401890	DEGUELIN(-)	MicroSource Discovery Systems Inc.									
BRD-K61463582-001-02-3	BRD-K61463582	3-METHYLCHOLANTHRENE	MicroSource Discovery Systems Inc.	yes					UseClass:8067 (carcinogen)			
BRD-K61496577-001-03-8	BRD-K61496577	Flumethasone	Prestwick Chemical Inc.									
BRD-K61831307-003-02-1	BRD-K61831307	PHENACYLAMINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K61951118-001-01-2	BRD-K61951118	FG 7142	Biomol International Inc.									
BRD-K62240499-001-02-6	BRD-K62240499	HUPERZINE A	MicroSource Discovery Systems Inc.									
BRD-K62310379-001-03-0	BRD-K62310379	Fluticasone propionate	Prestwick Chemical Inc.									
BRD-K62363391-001-05-8	BRD-K62363391	Dapsone	Prestwick Chemical Inc.	yes				"MeSH:D007918 (Leprosy);""MeSH:D011020 (Pneumonia, Pneumocystis)"""	UseClass:8103 (anti-infective agent)			
BRD-K62456038-001-01-8	BRD-K62456038	(+)-PD 128907	Biomol International Inc.									
BRD-K62581435-001-01-2	BRD-K62581435	"3-[2-[4-(2-METHOXYPHENYL)PIPERAZIN-1-YL]PYRIMIDO[5,4-B]INDOLE-2,4-DIONE"	Biomol International Inc.									
BRD-K62607865-001-03-0	BRD-K62607865	Aztreonam	Prestwick Chemical Inc.									
BRD-K62609077-001-02-2	BRD-K62609077	Scoulerine	Prestwick Chemical Inc.									
BRD-K62929068-001-05-8	BRD-K62929068	"Aminopurine, 6-benzyl"	Prestwick Chemical Inc.									
BRD-K62996583-001-03-8	BRD-K62996583	Lidoflazine	Prestwick Chemical Inc.									
BRD-K63089472-001-02-7	BRD-K63089472	FARNESYLTHIOACETIC ACID	Biomol International Inc.									
BRD-K63165456-001-03-3	BRD-K63165456	Norcyclobenzaprine	Prestwick Chemical Inc.									
BRD-K63430059-001-06-5	BRD-K63430059	Methoxy-8-psoralen	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D012871 (Skin Diseases);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K63630713-001-05-0	BRD-K63630713	Ethacrynic acid	Prestwick Chemical Inc.	yes	CBPROTID:1000639 (inhibits Glutathione S-transferase)	GeneID:6557 (binds SLC12A1)			UseClass:8153 (diuretic)			
BRD-K63750851-001-06-6	BRD-K63750851	Mycophenolic acid	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D007896 (Leishmaniasis);MeSH:D009369 (Neoplasms);MeSH:D011565 (Psoriasis)	UseClass:8071 (anti-inflammatory);UseClass:8066 (anti-neoplastic);UseClass:8108 (anti-protozoal);UseClass:8076 (anti-psoriatic);UseClass:8070 (immunosuppressive agent)			
BRD-K63758740-001-02-3	BRD-K63758740	SINAPIC ACID METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K63793181-001-02-6	BRD-K63793181	calphostin C	Biomol International Inc.									
BRD-K63861289-001-03-0	BRD-K63861289	MOLSIDOMINE	MicroSource Discovery Systems Inc.	yes				MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension)	UseClass:8095 (anti-anginal);UseClass:8091 (anti-hypertensive)			
BRD-K63945320-001-03-2	BRD-K63945320	DIHYDROSAMIDIN	MicroSource Discovery Systems Inc.									
BRD-K64044582-001-02-8	BRD-K64044582	LINOLEAMIDE	Biomol International Inc.									
BRD-K64236792-002-03-2	BRD-K64236792	Austricine hydrate	Prestwick Chemical Inc.									
BRD-K64246525-001-01-1	BRD-K64246525	DIFUCOL HEXAMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K64400208-001-01-8	BRD-K64400208	"6,7-DINITROQUINOXALINE-2,3-DIONE"	Biomol International Inc.									
BRD-K64698045-001-02-2	BRD-K64698045	TRIALLATE	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)			
BRD-K64729807-001-02-3	BRD-K64729807	AGC	Biomol International Inc.									
BRD-K64746805-001-02-9	BRD-K64746805	MBCQ	Biomol International Inc.									
BRD-K64862097-001-03-9	BRD-K64862097	Fluorometholone	Prestwick Chemical Inc.									
BRD-K64909280-001-02-7	BRD-K64909280	Lycorine	Biomol International Inc.									
BRD-K64994968-001-03-6	BRD-K64994968	Progesterone	Prestwick Chemical Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-K65207153-001-02-9	BRD-K65207153	"7,7-DIMETHYLEICOSADIENOIC ACID"	Biomol International Inc.									
BRD-K65275554-001-02-1	BRD-K65275554	N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-K65417056-003-03-6	BRD-K65417056	Meprylcaine hydrochloride	Prestwick Chemical Inc.									
BRD-K65508953-001-05-5	BRD-K65508953	Monocrotaline	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K65639003-001-02-5	BRD-K65639003	ICARIIN	MicroSource Discovery Systems Inc.									
BRD-K65667145-001-05-8	BRD-K65667145	6-Furfurylaminopurine	Prestwick Chemical Inc.	yes					UseClass:8147 (auxin)			
BRD-K65814004-001-02-3	BRD-K65814004	diphenyleneiodonium	Biomol International Inc.									
BRD-K66206289-003-03-1	BRD-K66206289	Lobeline alpha (-) hydrochoride	Prestwick Chemical Inc.									
BRD-K66353228-001-05-4	BRD-K66353228	Zoxazolamine	Prestwick Chemical Inc.									
BRD-K66404838-003-03-8	BRD-K66404838	Nalbuphine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic)			
BRD-K66416915-300-01-2	BRD-K66416915	3-HYDROXYBENZYLHYDRAZINE DIHYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes		GeneID:1644 (inhibits DDC)						
BRD-K66643401-001-02-4	BRD-K66643401	ACETOSYRINGONE	MicroSource Discovery Systems Inc.									
BRD-K66874953-001-02-7	BRD-K66874953	pifithrin	Biomol International Inc.	yes			GO:0006915 (inhibits apoptosis);GO:0006350 (inhibits transcription)		UseClass:8114 (neuroprotective agent)			
BRD-K67016489-003-02-3	BRD-K67016489	Convolamine hydrochloride	Prestwick Chemical Inc.									
BRD-K67100011-003-03-0	BRD-K67100011	Pivmecillinam hydrochloride	Prestwick Chemical Inc.									
BRD-K67102207-001-02-6	BRD-K67102207	PHENYLBUTYRIC ACID	MicroSource Discovery Systems Inc.	yes			GO:0019213 (inhibits deacetylase activity)					
BRD-K67217586-001-02-3	BRD-K67217586	FENTHION	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic);UseClass:8149 (insecticide)			
BRD-K67277431-002-03-0	BRD-K67277431	Picotamide monohydrate	Prestwick Chemical Inc.	yes		GeneID:6916 (inhibits TBXAS1)						
BRD-K67298865-001-02-5	BRD-K67298865	SB-431542	Biomol International Inc.									
BRD-K67511046-003-03-7	BRD-K67511046	Naloxone hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4988 (activates OPRM1)			UseClass:8155 (antidote)			
BRD-K67556876-001-03-1	BRD-K67556876	Myosmine	Prestwick Chemical Inc.									
BRD-K67563174-001-05-1	BRD-K67563174	Acemetacin	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K67601717-001-02-0	BRD-K67601717	ALMOTRIPTAN	MicroSource Discovery Systems Inc.	yes		GeneID:3351 (activates HTR1B);GeneID:3352 (activates HTR1D)	GO:0007198 (activates inhibition of adenylate cyclase activity by serotonin receptor signaling pathway);GO:0042310 (activates vasoconstriction)	MeSH:D008881 (Migraine Disorders)	UseClass:8094 (vasoconstrictor)			
BRD-K67783091-001-05-5	BRD-K67783091	HALOPERIDOL	Biomol International Inc.	yes	CBPROTID:1000337 (inhibits Potassium channel)	GeneID:1813 (inhibits DRD2);GeneID:2904 (inhibits GRIN2B)	GO:0004972 (inhibits N-methyl-D-aspartate selective glutamate receptor activity)	MeSH:D011618 (Psychotic Disorders)	UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8117 (tranquilizer)			
BRD-K67966701-335-03-5	BRD-K67966701	Lisinopril	Prestwick Chemical Inc.	yes		GeneID:1636 (inhibits ACE)		MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-K68075732-001-03-5	BRD-K68075732	(S)-(-)-Atenolol	Prestwick Chemical Inc.									
BRD-K68185022-001-02-3	BRD-K68185022	Ursolic acid	Prestwick Chemical Inc.									
BRD-K68188368-001-03-7	BRD-K68188368	Nifuroxazide	Prestwick Chemical Inc.									
BRD-K68332390-001-02-5	BRD-K68332390	PONALRESTAT	MicroSource Discovery Systems Inc.	yes		GeneID:231 (inhibits AKR1B1)		MeSH:D009422 (Nervous System Diseases)				
BRD-K68336408-003-02-2	BRD-K68336408	AG1478	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR)						
BRD-K68402494-001-04-7	BRD-K68402494	ML9	Biomol International Inc.	yes			GO:0004697 (inhibits protein kinase C activity)					
BRD-K68438316-001-02-1	BRD-K68438316	"METHYLORSELLINIC ACID, ETHYL ESTER"	MicroSource Discovery Systems Inc.									
BRD-K68538666-001-03-2	BRD-K68538666	Aceclofenac	Prestwick Chemical Inc.									
BRD-K68553471-003-04-0	BRD-K68553471	Todralazine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-K68558722-001-02-4	BRD-K68558722	DERACOXIB	MicroSource Discovery Systems Inc.									
BRD-K68620903-001-03-1	BRD-K68620903	Dydrogesterone	Prestwick Chemical Inc.									
BRD-K68806283-001-02-8	BRD-K68806283	"5,7,4'-TRIMETHOXYFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K69023402-001-02-5	BRD-K69023402	THAPSIGARGIN	Biomol International Inc.									
BRD-K69195780-001-01-5	BRD-K69195780	NAN-190	Biomol International Inc.	yes		GeneID:3350 (inhibits HTR1A)						
BRD-K69294151-001-02-5	BRD-K69294151	MUNDOSERONE	MicroSource Discovery Systems Inc.									
BRD-K69585439-001-01-2	BRD-K69585439	3-HYDROXYMETHYL-beta-CARBOLINE	Biomol International Inc.	yes					UseClass:8155 (antidote)			
BRD-K69654927-001-01-5	BRD-K69654927	MUNINGIN	MicroSource Discovery Systems Inc.									
BRD-K70246307-001-02-5	BRD-K70246307	RIBOFLAVIN	MicroSource Discovery Systems Inc.									
BRD-K70281171-001-01-7	BRD-K70281171	U-99194A	Biomol International Inc.	yes		GeneID:1814 (inhibits DRD3)						
BRD-K70301876-034-02-0	BRD-K70301876	ESCITALOPRAM OXALATE	MicroSource Discovery Systems Inc.									
BRD-K70343553-003-02-7	BRD-K70343553	1- (2-METHOXYPHENYL)PIERAZINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K70487031-001-01-0	BRD-K70487031	cis-(Z)-FLUPENTHIXOL	Biomol International Inc.									
BRD-K70549064-001-02-5	BRD-K70549064	STAUROSPORINE	Biomol International Inc.									
BRD-K70778732-003-05-1	BRD-K70778732	Trazodone hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression);MeSH:D006973 (Hypertension)	UseClass:8119 (anti-depressant);UseClass:8091 (anti-hypertensive)			
BRD-K70799801-311-02-7	BRD-K70799801	Quinidine hydrochloride monohydrate	Prestwick Chemical Inc.									
BRD-K70881766-001-02-3	BRD-K70881766	Solanine alpha	Prestwick Chemical Inc.									
BRD-K71003802-001-02-9	BRD-K71003802	Hippeastrine hydrobromide	Prestwick Chemical Inc.									
BRD-K71053238-001-04-4	BRD-K71053238	Methazolamide	Prestwick Chemical Inc.									
BRD-K71059170-001-02-5	BRD-K71059170	Cefixime	Prestwick Chemical Inc.									
BRD-K71125014-001-07-3	BRD-K71125014	Sulfadimethoxine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)				
BRD-K71133585-236-05-2	BRD-K71133585	Sulfaquinoxaline sodium salt	Prestwick Chemical Inc.	yes		GeneID:1728 (inhibits NQO1)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K71198913-001-02-3	BRD-K71198913	2-ARACHIDONOYLGLYCEROL	Biomol International Inc.	yes			GO:0004949 (activates cannabinoid receptor activity)					
BRD-K71437774-001-02-3	BRD-K71437774	TETRAC	MicroSource Discovery Systems Inc.									
BRD-K71671197-001-02-6	BRD-K71671197	PHOSALONE	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)			
BRD-K71726959-001-05-9	BRD-K71726959	N9-Isopropylolomoucine	Biomol International Inc.	yes		GeneID:983 (inhibits CDK1)	GO:0004693 (inhibits cyclin-dependent protein kinase activity)					
BRD-K71799778-001-02-2	BRD-K71799778	BML-259	Biomol International Inc.									
BRD-K71799949-001-06-7	BRD-K71799949	Carbamazepine	Prestwick Chemical Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)			
BRD-K72034655-001-02-1	BRD-K72034655	PEUCEDANIN	MicroSource Discovery Systems Inc.									
BRD-K72066653-001-02-5	BRD-K72066653	DERRUSNIN	MicroSource Discovery Systems Inc.									
BRD-K72135530-001-02-7	BRD-K72135530	DERRUSTONE	MicroSource Discovery Systems Inc.									
BRD-K72166146-066-02-1	BRD-K72166146	DIHYDROERGOTAMINE MESYLATE	MicroSource Discovery Systems Inc.	yes		GeneID:3352 (activates HTR1D);GeneID:3356 (inhibits HTR2A)		MeSH:D008881 (Migraine Disorders)	UseClass:8094 (vasoconstrictor)			
BRD-K72253829-001-03-6	BRD-K72253829	ISOPIMPINELLIN	MicroSource Discovery Systems Inc.									
BRD-K72259270-003-05-8	BRD-K72259270	Dyclonine hydrochloride	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8082 (anesthetic);UseClass:8090 (anti-arrhythmic)			
BRD-K72661036-001-02-1	BRD-K72661036	ISOGINKGETIN	MicroSource Discovery Systems Inc.									
BRD-K72903603-001-04-6	BRD-K72903603	"Zidovudine, AZT"	Prestwick Chemical Inc.	yes				MeSH:D012192 (Retroviridae Infections)	UseClass:8106 (anti-viral)			
BRD-K73109821-001-05-2	BRD-K73109821	DIAZOXIDE	Biomol International Inc.	yes			GO:0005267 (activates potassium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K73157543-001-02-5	BRD-K73157543	FENAMISAL	MicroSource Discovery Systems Inc.									
BRD-K73210450-001-02-3	BRD-K73210450	TRIPTOPHENOLIDE	MicroSource Discovery Systems Inc.									
BRD-K73251053-003-03-2	BRD-K73251053	Clorgyline hydrochloride	Prestwick Chemical Inc.									
BRD-K73303757-001-02-6	BRD-K73303757	BIOCHANIN A	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-K73391359-003-03-7	BRD-K73391359	Dimethisoquin hydrochloride	Prestwick Chemical Inc.									
BRD-K73477617-001-01-0	BRD-K73477617	DIBUTYL PHTHALATE	MicroSource Discovery Systems Inc.									
BRD-K73589401-001-04-6	BRD-K73589401	Corticosterone	Prestwick Chemical Inc.	yes			GO:0006915 (activates apoptosis)					
BRD-K73642618-001-05-9	BRD-K73642618	Bromopride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8116 (sedative)			
BRD-K73756878-001-02-9	BRD-K73756878	PHLORIDZIN	MicroSource Discovery Systems Inc.									
BRD-K73789395-001-04-0	BRD-K73789395	ZM336372	Biomol International Inc.	yes		GeneID:5600 (inhibits MAPK11)						
BRD-K73999723-001-02-2	BRD-K73999723	TELMISARTAN	MicroSource Discovery Systems Inc.									
BRD-K74038771-001-02-9	BRD-K74038771	bafilomycin A1	Biomol International Inc.									
BRD-K74112339-001-02-7	BRD-K74112339	PHENYLACETOHYDROXAMIC ACID	MicroSource Discovery Systems Inc.									
BRD-K74141488-003-03-9	BRD-K74141488	Naftifine hydrochloride	Prestwick Chemical Inc.									
BRD-K74148702-001-02-0	BRD-K74148702	Curcumin	Biomol International Inc.									
BRD-K74186897-001-02-5	BRD-K74186897	Cytisine (-)	Prestwick Chemical Inc.									
BRD-K74212935-001-03-1	BRD-K74212935	alpha-ERGOCRYPTINE	Biomol International Inc.									
BRD-K74765201-001-03-5	BRD-K74765201	LY-171883	Biomol International Inc.									
BRD-K74913225-001-03-3	BRD-K74913225	Brinzolamide	Prestwick Chemical Inc.									
BRD-K75089421-001-02-5	BRD-K75089421	PROCAINAMIDE	Biomol International Inc.	yes		GeneID:1786 (inhibits DNMT1)	GO:0006306 (inhibits DNA methylation);GO:0006909 (inhibits phagocytosis)	"MeSH:D001145 (Arrhythmias, Cardiac);MeSH:D018879 (Ventricular Premature Complexes)"	UseClass:8090 (anti-arrhythmic)			
BRD-K75089421-003-05-4	BRD-K75089421	Procainamide hydrochloride	Prestwick Chemical Inc.	yes		GeneID:1786 (inhibits DNMT1)	GO:0006306 (inhibits DNA methylation);GO:0006909 (inhibits phagocytosis)	"MeSH:D001145 (Arrhythmias, Cardiac);MeSH:D018879 (Ventricular Premature Complexes)"	UseClass:8090 (anti-arrhythmic)			
BRD-K75181824-001-02-3	BRD-K75181824	AGGC	Biomol International Inc.	yes			GO:0030041 (inhibits actin filament polymerization);GO:0018350 (inhibits protein esterification)					
BRD-K75330923-001-02-6	BRD-K75330923	DIURON	MicroSource Discovery Systems Inc.									
BRD-K75466013-001-05-2	BRD-K75466013	Benzocaine	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)			
BRD-K75608666-001-02-6	BRD-K75608666	HYDROXYTOLUIC ACID	MicroSource Discovery Systems Inc.									
BRD-K75615183-001-01-7	BRD-K75615183	B-HT 920	Biomol International Inc.									
BRD-K75844781-001-01-9	BRD-K75844781	1-(3-CHLOROPHENYL)PIPERAZINE	Biomol International Inc.									
BRD-K75958195-001-01-7	BRD-K75958195	PIZOTIFEN	Biomol International Inc.									
BRD-K75958195-037-03-7	BRD-K75958195	Pizotifen malate	Prestwick Chemical Inc.									
BRD-K75983763-008-01-2	BRD-K75983763	ISOPILOCARPINE NITRATE	MicroSource Discovery Systems Inc.									
BRD-K76011241-045-01-5	BRD-K76011241	OSELTAMIVIR TARTRATE	MicroSource Discovery Systems Inc.									
BRD-K76064317-001-04-0	BRD-K76064317	AG-1296	Biomol International Inc.	yes		GeneID:5159 (inhibits PDGFRB)						
BRD-K76205745-001-02-5	BRD-K76205745	LOSARTAN	MicroSource Discovery Systems Inc.	yes		GeneID:185 (affects AGTR1)						
BRD-K76274772-001-02-7	BRD-K76274772	"MAPP, D-erythro"	Biomol International Inc.	yes		GeneID:427 (inhibits ASAH1);GeneID:54447 (inhibits Asah2);GeneID:56624 (inhibits ASAH2);GeneID:427 (ASAH1)	GO:0006915 (activates apoptosis);GO:0006887 (activates exocytosis);GO:0008283 (inhibits cell proliferation);GO:0017040 (inhibits ceramidase activity);GO:0046514 (inhibits ceramide catabolic process);GO:0045023 (inhibits G0 to G1 transition);GO:0006665 (inhibits sphingolipid metabolic process)					
BRD-K76293260-001-02-6	BRD-K76293260	N-LINOLEOYLGLYCINE	Biomol International Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-K76304753-003-05-4	BRD-K76304753	Phenazopyridine hydrochloride	Prestwick Chemical Inc.									
BRD-K76337122-001-03-7	BRD-K76337122	4'-METHOXYFLAVONE	MicroSource Discovery Systems Inc.									
BRD-K76381435-001-02-9	BRD-K76381435	NITROMIDE	MicroSource Discovery Systems Inc.									
BRD-K76587808-001-03-8	BRD-K76587808	FRAXETIN	MicroSource Discovery Systems Inc.									
BRD-K76677554-001-01-7	BRD-K76677554	AJ-76	Biomol International Inc.									
BRD-K76723084-001-05-9	BRD-K76723084	13-CIS RETINOIC ACID	Biomol International Inc.	yes			GO:0003708 (activates retinoic acid receptor activity)	MeSH:D000152 (Acne Vulgaris);MeSH:D012871 (Skin Diseases)				
BRD-K76805682-001-02-7	BRD-K76805682	SB-415286	Biomol International Inc.	yes		GeneID:2931 (inhibits GSK3A)	GO:0006915 (activates apoptosis)					
