Compound Broad Identifier	Compound Broad Identifier Short	Compound Broad Identifier_Compound Group	Compound Name	Compound Source	PubChem InChIKey	ChEMBL Identifier	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-K13078532-001-05-2	BRD-K13078532	BRD-K13078532-001-05-2_BBBC022	Hydrochlorothiazide	Prestwick Chemical Inc.	JZUFKLXOESDKRF-UHFFFAOYSA-N	CHEMBL435	yes		GeneID:6559 (inhibits SLC12A3)	GO:0004089 (inhibits carbonate dehydratase activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)	yes	cellular response to chemical stimulus	
BRD-K14704277-001-05-1	BRD-K14704277	BRD-K14704277-001-05-1_BBBC022	Cinoxacin	Prestwick Chemical Inc.	VDUWPHTZYNWKRN-UHFFFAOYSA-N	CHEMBL1208	yes	CBPROTID:1000515 (inhibits DNA topoisomerase)				UseClass:8111 (antiseptic)			
BRD-K14705039-001-05-7	BRD-K14705039	BRD-K14705039-001-05-7_BBBC022	Sulfathiazole	Prestwick Chemical Inc.	JNMRHUJNCSQMMB-UHFFFAOYSA-N	CHEMBL437	yes				MeSH:D001424 (Bacterial Infections);MeSH:D013203 (Staphylococcal Infections)	UseClass:8104 (anti-bacterial)			
BRD-K14756138-003-02-3	BRD-K14756138	BRD-K14756138-003-02-3_BBBC022	HARMALOL HYDROCHLORIDE	MicroSource Discovery Systems Inc.	CRQDWQWZCNKKAC-UHFFFAOYSA-N		yes					UseClass:8113 (cns agent)			
BRD-K14756138-310-03-0	BRD-K14756138	BRD-K14756138-310-03-0_BBBC022	Harmalol hydrochloride dihydrate	Prestwick Chemical Inc.	CRQDWQWZCNKKAC-UHFFFAOYSA-N		yes					UseClass:8113 (cns agent)			
BRD-K14796088-003-06-0	BRD-K14796088	BRD-K14796088-003-06-0_BBBC022	Berberine chloride	Prestwick Chemical Inc.	YBHILYKTIRIUTE-UHFFFAOYSA-N	CHEMBL295124	yes			GO:0004938 (activates alpha2-adrenergic receptor activity);GO:0004104 (inhibits cholinesterase activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-K14821540-001-02-1	BRD-K14821540	BRD-K14821540-001-02-1_BBBC022	FCCP	Biomol International Inc.	BMZRVOVNUMQTIN-UHFFFAOYSA-N	CHEMBL457504	yes			GO:0015992 (affects proton transport)			yes	cellular response to chemical stimulus	
BRD-K15025317-001-04-5	BRD-K15025317	BRD-K15025317-001-04-5_BBBC022	BAY 11-7082	Biomol International Inc.	DOEWDSDBFRHVAP-KRXBUXKQSA-N	CHEMBL403183	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K15563106-001-02-4	BRD-K15563106	BRD-K15563106-001-02-4_BBBC022	PHLORETIN	MicroSource Discovery Systems Inc.	VGEREEWJJVICBM-UHFFFAOYSA-N	CHEMBL45068	yes			GO:0005355 (inhibits glucose transmembrane transporter activity);GO:0004697 (inhibits protein kinase C activity)					
BRD-K15567136-003-06-6	BRD-K15567136	BRD-K15567136-003-06-6_BBBC022	Papaverine hydrochloride	Prestwick Chemical Inc.	XQYZDYMELSJDRZ-UHFFFAOYSA-N	CHEMBL19224	yes				MeSH:D000787 (Angina Pectoris);MeSH:D001249 (Asthma);MeSH:D014777 (Virus Diseases)	UseClass:8095 (anti-anginal);UseClass:8078 (anti-asthmatic);UseClass:8106 (anti-viral);UseClass:8133 (smooth muscle relaxant);UseClass:8092 (vasodilator)			
BRD-K15933101-003-01-2	BRD-K15933101	BRD-K15933101-003-01-2_BBBC022	Ropinirole HCl	Biomol International Inc.	UHSKFQJFRQCDBE-UHFFFAOYSA-N	CHEMBL589	yes		GeneID:1813 (activates DRD2);GeneID:1814 (activates DRD3);GeneID:1815 (activates DRD4)		MeSH:D010300 (Parkinson Disease)	UseClass:8113 (cns agent)			
BRD-K16195444-001-01-7	BRD-K16195444	BRD-K16195444-001-01-7_BBBC022	OXYMETAZOLINE	Biomol International Inc.	WYWIFABBXFUGLM-UHFFFAOYSA-N	CHEMBL762	yes		GeneID:150 (activates ADRA2A)			UseClass:8084 (decongestant);UseClass:8094 (vasoconstrictor)			
BRD-K16508793-001-01-8	BRD-K16508793	BRD-K16508793-001-01-8_BBBC022	DIAZEPAM	MicroSource Discovery Systems Inc.	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CHEMBL12	yes		GeneID:2555 (activates GABRA2);GeneID:2556 (activates GABRA3)	GO:0008503 (activates benzodiazepine receptor activity)		UseClass:8116 (sedative);UseClass:8117 (tranquilizer)			
BRD-K16542329-001-05-1	BRD-K16542329	BRD-K16542329-001-05-1_BBBC022	zaprinast	Biomol International Inc.	REZGGXNDEMKIQB-UHFFFAOYSA-N	CHEMBL28079	yes	CBPROTID:1000343 (inhibits Phosphodiesterase)			MeSH:D001249 (Asthma);MeSH:D006967 (Hypersensitivity)	UseClass:8077 (anti-allergy);UseClass:8078 (anti-asthmatic)			
BRD-K16652251-001-02-7	BRD-K16652251	BRD-K16652251-001-02-7_BBBC022	ACETOCHLOR	MicroSource Discovery Systems Inc.	VTNQPKFIQCLBDU-UHFFFAOYSA-N	CHEMBL1517425	yes					UseClass:8065 (anti-proliferative);UseClass:8146 (herbicide)			
BRD-K17223896-001-02-7	BRD-K17223896	BRD-K17223896-001-02-7_BBBC022	CHLOROXYLENOL	MicroSource Discovery Systems Inc.	OSDLLIBGSJNGJE-UHFFFAOYSA-N	CHEMBL398440	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal)			
BRD-K17565903-066-05-8	BRD-K17565903	BRD-K17565903-066-05-8_BBBC022	Pridinol methanesulfonate salt	Prestwick Chemical Inc.	RQXCLMGKHJWMOA-UHFFFAOYSA-N	CHEMBL404215	yes				MeSH:D007249 (Inflammation);MeSH:D010300 (Parkinson Disease);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K17850764-001-02-6	BRD-K17850764	BRD-K17850764-001-02-6_BBBC022	CLOPROSTENOL	Biomol International Inc.	VJGGHXVGBSZVMZ-QIZQQNKQSA-N	CHEMBL37853	yes		GeneID:5737 (activates PTGFR)						
BRD-K17953061-001-02-8	BRD-K17953061	BRD-K17953061-001-02-8_BBBC022	staurosporine	Biomol International Inc.	HKSZLNNOFSGOKW-FYTWVXJKSA-N	CHEMBL388978	yes		GeneID:6714 (inhibits SRC)	"GO:0000915 (affects cytokinesis, actomyosin contractile ring assembly);GO:0051256 (affects spindle midzone assembly involved in mitosis);GO:0004697 (inhibits protein kinase C activity)"			yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K18059238-001-02-1	BRD-K18059238	BRD-K18059238-001-02-1_BBBC022	GAMMA-LINOLENIC ACID (18:3 n-6)	Biomol International Inc.	VZCCETWTMQHEPK-QNEBEIHSSA-N	CHEMBL464982	yes				MeSH:D008113 (Liver Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K18787491-001-04-5	BRD-K18787491	BRD-K18787491-001-04-5_BBBC022	U-0126	Biomol International Inc.	DVEXZJFMOKTQEZ-JYFOCSDGSA-N	CHEMBL34704	yes	CBPROTID:1000423 (inhibits Mitogen-activated protein kinase kinase);CBPROTID:1000068 (inhibits Mitogen-activated protein kinase)	GeneID:4214 (inhibits MAP3K1);GeneID:10746 (inhibits MAP3K2)	GO:0000186 (inhibits activation of MAPKK activity);GO:0004708 (inhibits MAP kinase kinase activity)			yes	cellular response to chemical stimulus	
BRD-K18910433-001-04-4	BRD-K18910433	BRD-K18910433-001-04-4_BBBC022	ESTRADIOL	Biomol International Inc.	VOXZDWNPVJITMN-ZBRFXRBCSA-N	CHEMBL135	yes				MeSH:D008593 (Menopause);MeSH:D010024 (Osteoporosis)		yes	cellular response to chemical stimulus	
BRD-K18922609-004-04-1	BRD-K18922609	BRD-K18922609-004-04-1_BBBC022	Neostigmine bromide	Prestwick Chemical Inc.	ALWKGYPQUAPLQC-UHFFFAOYSA-N	CHEMBL278020	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D009157 (Myasthenia Gravis)	UseClass:8131 (muscular agent)			
BRD-K19111024-001-05-0	BRD-K19111024	BRD-K19111024-001-05-0_BBBC022	Clofibric acid	Prestwick Chemical Inc.	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	yes				MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)			
BRD-K19227686-001-02-0	BRD-K19227686	BRD-K19227686-001-02-0_BBBC022	PHENOLPHTHALEIN	MicroSource Discovery Systems Inc.	KJFMBFZCATUALV-UHFFFAOYSA-N	CHEMBL63857	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)			
BRD-K19295594-001-06-9	BRD-K19295594	BRD-K19295594-001-06-9_BBBC022	Gossypol	Prestwick Chemical Inc.	QBKSWRVVCFFDOT-UHFFFAOYSA-N	CHEMBL51483	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)			
BRD-K19295594-015-02-8	BRD-K19295594	BRD-K19295594-015-02-8_BBBC022	GOSSYPOL-ACETIC ACID COMPLEX	MicroSource Discovery Systems Inc.	QBKSWRVVCFFDOT-UHFFFAOYSA-N	CHEMBL51483	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)			
BRD-K19352500-070-02-5	BRD-K19352500	BRD-K19352500-070-02-5_BBBC022	PROCHLORPERAZINE EDISYLATE	MicroSource Discovery Systems Inc.	WIKYUJGCLQQFNW-UHFFFAOYSA-N	CHEMBL728	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)			
BRD-K19352500-332-03-7	BRD-K19352500	BRD-K19352500-332-03-7_BBBC022	Prochlorperazine dimaleate	Prestwick Chemical Inc.	WIKYUJGCLQQFNW-UHFFFAOYSA-N	CHEMBL728	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)			
BRD-K20655524-003-04-7	BRD-K20655524	BRD-K20655524-003-04-7_BBBC022	Mefexamide hydrochloride	Prestwick Chemical Inc.	HUNIPYLVUPMFCZ-UHFFFAOYSA-N		yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-K21283037-001-02-5	BRD-K21283037	BRD-K21283037-001-02-5_BBBC022	RILUZOLE	Biomol International Inc.	FTALBRSUTCGOEG-UHFFFAOYSA-N	CHEMBL744	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)			
BRD-K21283037-003-03-9	BRD-K21283037	BRD-K21283037-003-03-9_BBBC022	Riluzole hydrochloride	Prestwick Chemical Inc.	FTALBRSUTCGOEG-UHFFFAOYSA-N	CHEMBL744	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)			
BRD-K21350491-001-02-1	BRD-K21350491	BRD-K21350491-001-02-1_BBBC022	PHENAMIL	Biomol International Inc.	NIOHELZQFBGCEO-UHFFFAOYSA-N	CHEMBL211502	yes			GO:0015280 (inhibits ligand-gated sodium channel activity)					
BRD-K21565985-001-05-0	BRD-K21565985	BRD-K21565985-001-05-0_BBBC022	Xylazine	Prestwick Chemical Inc.	BPICBUSOMSTKRF-UHFFFAOYSA-N	CHEMBL297362	yes			GO:0004938 (activates alpha2-adrenergic receptor activity)	MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8116 (sedative)			
BRD-K21680192-300-05-2	BRD-K21680192	BRD-K21680192-300-05-2_BBBC022	Mitoxantrone dihydrochloride	Prestwick Chemical Inc.	KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHEMBL58	yes			GO:0016491 (affects oxidoreductase activity)	"MeSH:D015470 (Leukemia, Myeloid, Acute);MeSH:D009103 (Multiple Sclerosis);MeSH:D009369 (Neoplasms);MeSH:D011471 (Prostatic Neoplasms)"	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-K21733600-001-02-6	BRD-K21733600	BRD-K21733600-001-02-6_BBBC022	ROFECOXIB	MicroSource Discovery Systems Inc.	RZJQGNCSTQAWON-UHFFFAOYSA-N	CHEMBL122	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D004412 (Dysmenorrhea);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K21893543-001-02-8	BRD-K21893543	BRD-K21893543-001-02-8_BBBC022	AZINPHOS METHYL	MicroSource Discovery Systems Inc.	CJJOSEISRRTUQB-UHFFFAOYSA-N	CHEMBL530115	yes					UseClass:8149 (insecticide)			
BRD-K22031190-001-05-3	BRD-K22031190	BRD-K22031190-001-05-3_BBBC022	Diflunisal	Prestwick Chemical Inc.	HUPFGZXOMWLGNK-UHFFFAOYSA-N	CHEMBL898	yes		GeneID:38 (inhibits ACAT1)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-K22936972-003-05-3	BRD-K22936972	BRD-K22936972-003-05-3_BBBC022	Diphenylpyraline hydrochloride	Prestwick Chemical Inc.	OWQUZNMMYNAXSL-UHFFFAOYSA-N	CHEMBL1492	yes		GeneID:3269 (inhibits HRH1)						
BRD-K23583188-001-05-6	BRD-K23583188	BRD-K23583188-001-05-6_BBBC022	Lavendustin A	Biomol International Inc.	ULTTYPMRMMDONC-UHFFFAOYSA-N	CHEMBL103552	yes		GeneID:6714 (inhibits SRC)	GO:0005006 (inhibits epidermal growth factor receptor activity)	MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent);UseClass:8065 (anti-proliferative)			
BRD-K23704908-001-03-2	BRD-K23704908	BRD-K23704908-001-03-2_BBBC022	"3,4-dichloroisocoumarin"	Biomol International Inc.	SUGXUUGGLDCZKB-UHFFFAOYSA-N	CHEMBL24983	yes		GeneID:3002 (inhibits GZMB)	GO:0006915 (inhibits apoptosis);GO:0006309 (inhibits DNA fragmentation involved in apoptotic nuclear change);GO:0008236 (inhibits serine-type peptidase activity)					
BRD-K24023109-001-02-5	BRD-K24023109	BRD-K24023109-001-02-5_BBBC022	DILTIAZEM	Biomol International Inc.	HSUGRBWQSSZJOP-RTWAWAEBSA-N	CHEMBL23	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K24023109-003-03-9	BRD-K24023109	BRD-K24023109-003-03-9_BBBC022	Diltiazem hydrochloride	Prestwick Chemical Inc.	HSUGRBWQSSZJOP-RTWAWAEBSA-N	CHEMBL23	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K24053527-004-02-0	BRD-K24053527	BRD-K24053527-004-02-0_BBBC022	DEXTROMETHORPHAN HYDROBROMIDE	MicroSource Discovery Systems Inc.	MKXZASYAUGDDCJ-SZMVWBNQSA-N		yes				MeSH:D003371 (Cough);MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant);UseClass:8085 (anti-tussive)			
BRD-K24084088-001-02-2	BRD-K24084088	BRD-K24084088-001-02-2_BBBC022	PARAXANTHINE	MicroSource Discovery Systems Inc.	QUNWUDVFRNGTCO-UHFFFAOYSA-N	CHEMBL1158	yes			"GO:0001609 (activates adenosine receptor activity, G-protein coupled)"					
BRD-K24132293-001-05-3	BRD-K24132293	BRD-K24132293-001-05-3_BBBC022	Piperlongumine	Prestwick Chemical Inc.	VABYUUZNAVQNPG-BQYQJAHWSA-N	CHEMBL465843	yes			GO:0045444 (activates fat cell differentiation);GO:0004097 (affects catechol oxidase activity);GO:0019933 (inhibits cAMP-mediated signaling);GO:0042438 (inhibits melanin biosynthetic process);GO:0006800 (inhibits oxygen and reactive oxygen species metabolic process);GO:0046488 (inhibits phosphatidylinositol metabolic process);GO:0043473 (inhibits pigmentation);GO:0070527 (inhibits platelet aggregation)			yes	cellular response to chemical stimulus	
BRD-K24616672-003-05-2	BRD-K24616672	BRD-K24616672-003-05-2_BBBC022	Procaine hydrochloride	Prestwick Chemical Inc.	MFDFERRIHVXMIY-UHFFFAOYSA-N	CHEMBL569	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8113 (cns agent)	yes	cellular response to chemical stimulus	
BRD-K24621118-001-02-5	BRD-K24621118	BRD-K24621118-001-02-5_BBBC022	ACTINONIN	MicroSource Discovery Systems Inc.	XJLATMLVMSFZBN-VYDXJSESSA-N	CHEMBL308333	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)			
BRD-K24689407-001-04-8	BRD-K24689407	BRD-K24689407-001-04-8_BBBC022	Bromo-7-nitroindazole [3-Bromo-7-nitroindazole]	Biomol International Inc.	NFSTZPMYAZRZPC-UHFFFAOYSA-N	CHEMBL479014	yes			GO:0004517 (inhibits nitric-oxide synthase activity)					
BRD-K25394294-001-05-7	BRD-K25394294	BRD-K25394294-001-05-7_BBBC022	Oxaprozin	Prestwick Chemical Inc.	OFPXSFXSNFPTHF-UHFFFAOYSA-N	CHEMBL1071	yes			GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)			
BRD-K25650355-059-02-3	BRD-K25650355	BRD-K25650355-059-02-3_BBBC022	PHYSOSTIGMINE SALICYLATE	MicroSource Discovery Systems Inc.	PIJVFDBKTWXHHD-HIFRSBDPSA-N	CHEMBL94	yes				MeSH:D005901 (Glaucoma)	UseClass:8134 (miotic)			
BRD-K26117720-001-02-2	BRD-K26117720	BRD-K26117720-001-02-2_BBBC022	GINGEROL	Biomol International Inc.	NLDDIKRKFXEWBK-AWEZNQCLSA-N	CHEMBL402978	yes					UseClass:8102 (anti-coagulant)			
BRD-K26739552-003-05-5	BRD-K26739552	BRD-K26739552-003-05-5_BBBC022	Fenspiride hydrochloride	Prestwick Chemical Inc.	FVNFBBAOMBJTST-UHFFFAOYSA-N	CHEMBL576127	yes					UseClass:8088 (bronchodilator)			
BRD-K27217864-001-05-8	BRD-K27217864	BRD-K27217864-001-05-8_BBBC022	Butamben	Prestwick Chemical Inc.	IUWVALYLNVXWKX-UHFFFAOYSA-N	CHEMBL127516	yes					UseClass:8082 (anesthetic)			
BRD-K27305650-001-05-9	BRD-K27305650	BRD-K27305650-001-05-9_BBBC022	LY-294002	Biomol International Inc.			yes		GeneID:5290 (inhibits PIK3CA);GeneID:5591 (inhibits PRKDC)	GO:0048659 (inhibits smooth muscle cell proliferation)			yes	cellular response to chemical stimulus	
BRD-K27316855-001-02-6	BRD-K27316855	BRD-K27316855-001-02-6_BBBC022	"1,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	GMRQFYUYWCNGIN-DRQJEBLXSA-N		yes			GO:0004697 (activates protein kinase C activity);GO:0003700 (binds sequence-specific DNA binding transcription factor activity)		UseClass:8065 (anti-proliferative)			
BRD-K27450477-001-03-9	BRD-K27450477	BRD-K27450477-001-03-9_BBBC022	EHNA	Biomol International Inc.	IOSAAWHGJUZBOG-MNOVXSKESA-N	CHEMBL50378	yes		GeneID:5138 (inhibits PDE2A)	GO:0004000 (inhibits adenosine deaminase activity)					
BRD-K27721098-065-02-9	BRD-K27721098	BRD-K27721098-065-02-9_BBBC022	CLOPIDOGREL SULFATE	MicroSource Discovery Systems Inc.	GKTWGGQPFAXNFI-HNNXBMFYSA-N	CHEMBL1771	yes		GeneID:64805 (inhibits P2RY12)		MeSH:D013927 (Thrombosis)	UseClass:8102 (anti-coagulant)			
BRD-K27737647-001-04-2	BRD-K27737647	BRD-K27737647-001-04-2_BBBC022	H-89	Biomol International Inc.	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	CHEMBL104264	yes			GO:0004691 (inhibits cAMP-dependent protein kinase activity)					
BRD-K28210218-236-05-7	BRD-K28210218	BRD-K28210218-236-05-7_BBBC022	Cephalothin sodium salt	Prestwick Chemical Inc.	XIURVHNZVLADCM-IUODEOHRSA-N	CHEMBL617	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K28307902-001-05-0	BRD-K28307902	BRD-K28307902-001-05-0_BBBC022	Flutamide	Prestwick Chemical Inc.	MKXKFYHWDHIYRV-UHFFFAOYSA-N	CHEMBL806	yes		GeneID:367 (inhibits AR)		MeSH:D006628 (Hirsutism);MeSH:D011471 (Prostatic Neoplasms)	UseClass:8144 (hormone antagonist)			
BRD-K28494619-001-05-0	BRD-K28494619	BRD-K28494619-001-05-0_BBBC022	Sulfamethoxazole	Prestwick Chemical Inc.	JLKIGFTWXXRPMT-UHFFFAOYSA-N	CHEMBL443	yes		GeneID:1719 (inhibits DHFR)	GO:0004156 (binds dihydropteroate synthase activity)	"MeSH:D001424 (Bacterial Infections);MeSH:D004751 (Enteritis);""MeSH:D018410 (Pneumonia, Bacterial)"";MeSH:D014552 (Urinary Tract Infections)"	UseClass:8104 (anti-bacterial)			
BRD-K28936863-051-05-8	BRD-K28936863	BRD-K28936863-051-05-8_BBBC022	Ketotifen fumarate	Prestwick Chemical Inc.	ZCVMWBYGMWKGHF-UHFFFAOYSA-N	CHEMBL534	yes		GeneID:3269 (inhibits HRH1)		MeSH:D001249 (Asthma);MeSH:D011537 (Pruritus)	UseClass:8078 (anti-asthmatic);UseClass:8072 (anti-histamine);UseClass:8122 (anti-pruritic)			
BRD-K29359156-001-06-1	BRD-K29359156	BRD-K29359156-001-06-1_BBBC022	Ebselen	Biomol International Inc.	DYEFUKCXAQOFHX-UHFFFAOYSA-N	CHEMBL51085	yes				MeSH:D007249 (Inflammation);MeSH:D008107 (Liver Diseases);MeSH:D020521 (Stroke)	UseClass:8071 (anti-inflammatory);UseClass:8137 (anti-oxidant)			
BRD-K29458283-001-05-9	BRD-K29458283	BRD-K29458283-001-05-9_BBBC022	Chlorambucil	Prestwick Chemical Inc.	JCKYGMPEJWAADB-UHFFFAOYSA-N	CHEMBL515	yes				MeSH:D001943 (Breast Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K29555132-001-02-2	BRD-K29555132	BRD-K29555132-001-02-2_BBBC022	ARACHIDONAMIDE	Biomol International Inc.	BNBSCAZCQDLUDU-DOFZRALJSA-N	CHEMBL15150	yes		GeneID:1268 (activates CNR1);GeneID:1269 (activates CNR2)						
