siRNA Primer	Gene Identifier	Gene Symbol	siRNA Hit	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26
DRSC11778	FBgn0036973	CG5585	yes																			Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers																decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass																																							
DRSC11779	FBgn0036974	eRF1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11791	FBgn0037001	CG6020	yes																									Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																		increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC11663	FBgn0037025	Spc105R	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11836	FBgn0037093	CG7597	yes																																											increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																																	
DRSC11642	FBgn0037121	Rpb8	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11593	FBgn0037207	Mes2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11632	FBgn0037207	Mes2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11632	FBgn0037207	Mes2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12339	FBgn0037249	eIF3-S10	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC12328	FBgn0037270	CG9769	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC12192	FBgn0037325	CG12147	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC12302	FBgn0037328	RpL35A	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12265	FBgn0037351	RpL13A	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12205	FBgn0037359	MED27	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12536	FBgn0037434	snRNP2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12645	FBgn0037529	mRpS9	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC15456	FBgn0037529	mRpS9	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC16535	FBgn0037550	CG9667	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16572	FBgn0037637	CG9836	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC14462	FBgn0037657	hyx	yes																																											increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																																	
DRSC16501	FBgn0037742	Rpt3R	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15890	FBgn0038049	CG5844	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15482	FBgn0038234	mRpL11	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC16223	FBgn0038269	Rrp6	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15508	FBgn0038271	CG3731	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																			microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																											
DRSC15518	FBgn0038281	RpL10Aa	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15166	FBgn0038464	CG16941	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15529	FBgn0038473	ns1	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC16889	FBgn0038578	MED17	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15804	FBgn0038667	snRNP-U1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15627	FBgn0038742	Arc42	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC15119	FBgn0038834	RpS30	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16186	FBgn0038852	CG7056	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC15948	FBgn0038927	CG6015	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14699	FBgn0038964	Nop56	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14688	FBgn0039041	CG13838	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC14209	FBgn0039120	Nup98	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14210	FBgn0039120	Nup98	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14625	FBgn0039205	CG13623	yes																						Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC14630	FBgn0039218	Rpb10	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC13697	FBgn0039280	Mocs2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14244	FBgn0039300	RpS27	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15638	FBgn0039359	RpL27	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14887	FBgn0039404	CG14543	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15662	FBgn0039566	CG4849	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16318	FBgn0039713	RpS8	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16556	FBgn0039747	AdoR	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC15394	FBgn0039757	RpS7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15035	FBgn0039828	CG1542	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC14479	FBgn0039835	mRpL32	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC14323	FBgn0039857	RpL6	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17126	FBgn0039923	MED26	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17148	FBgn0039923	MED26	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07818	FBgn0040007	RpL38	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16938	FBgn0040227	eIF-3p66	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC07556	FBgn0040273	Spt5	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16846	FBgn0040283	SMC1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16845	FBgn0040284	SF2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18175	FBgn0040339	MED22	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18561	FBgn0040394	CG16903	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18476	FBgn0040398	CG14629	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC11412	FBgn0040512	zetaCOP	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14460	FBgn0040534	CG11985	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14691	FBgn0040588	CG13841	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC18137	FBgn0040900	CG17777	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC18431	FBgn0040931	CG9034	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																										increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC02282	FBgn0040954	CG13779	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00708	FBgn0041111	lilli	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC08163	FBgn0041147	ida	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12148	FBgn0041191	Rheb	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC11468	FBgn0041607	asparagine-synthetase	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16344	FBgn0042693	PP2A-B`	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC16018	FBgn0043884	mask	yes																disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton																																																												
DRSC11630	FBgn0044324	Chro	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15017	FBgn0044826	Pak3	yes																									Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC06126	FBgn0050089	CG30089	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC05602	FBgn0050100	CG30100	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC05461	FBgn0050481	mRpL53	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC13805	FBgn0051077	CG31077	yes																																														microtubule clumps	CMPO_0000286	aggregated microtubules phenotype										increased level of microtubules	CMPO_0000097	increased number of microtubules																		
DRSC16524	FBgn0051150	CG31150	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC16068	FBgn0051155	Rpb7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC13309	FBgn0051229	CG31229	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC15833	FBgn0051291	CG31291	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC15724	FBgn0051302	CG31302	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16059	FBgn0051390	MED7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14369	FBgn0051450	mRpS18A	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC12270	FBgn0051559	CG31559	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17135	FBgn0051992	gw	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17105	FBgn0051997	CG31997	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC08816	FBgn0052398	CG32398	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19716	FBgn0052635	CG32635	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18081	FBgn0053080	CG33080	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC16224	FBgn0053547	Rim	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC04884	FBgn0053554	Nipped-A	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC13231	FBgn0054035	CG34035	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC19904	FBgn0061200	Nup153	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19904	FBgn0061200	Nup153	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03801	FBgn0064225	RpL5	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07121	FBgn0083919	Zasp52	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC06787	FBgn0085436	Not1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06794	FBgn0085436	Not1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06562	FBgn0085444	CG34415	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC16798	FBgn0086134	Pros25	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07575	FBgn0086356	tum	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC03256	FBgn0086357	Sec61alpha	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC17794	FBgn0086558	Ubi-p5E	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC16668	FBgn0086687	desat1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14371	FBgn0086697	Cenp-C	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC10533	FBgn0086706	pix	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02179	FBgn0086707	ncm	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02087	FBgn0086710	RpL30	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03367	FBgn0086783	Mhc	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
