Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
BRD-K22031190-001-05-3	BRD-K22031190	Diflunisal	Prestwick Chemical Inc.	yes		GeneID:38 (inhibits ACAT1)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-K22936972-003-05-3	BRD-K22936972	Diphenylpyraline hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)								
BRD-K23583188-001-05-6	BRD-K23583188	Lavendustin A	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	GO:0005006 (inhibits epidermal growth factor receptor activity)	MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent);UseClass:8065 (anti-proliferative)					
BRD-K23704908-001-03-2	BRD-K23704908	"3,4-dichloroisocoumarin"	Biomol International Inc.	yes		GeneID:3002 (inhibits GZMB)	GO:0006915 (inhibits apoptosis);GO:0006309 (inhibits DNA fragmentation involved in apoptotic nuclear change);GO:0008236 (inhibits serine-type peptidase activity)							
BRD-K24023109-001-02-5	BRD-K24023109	DILTIAZEM	Biomol International Inc.	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)					
BRD-K24023109-003-03-9	BRD-K24023109	Diltiazem hydrochloride	Prestwick Chemical Inc.	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)					
BRD-K24053527-004-02-0	BRD-K24053527	DEXTROMETHORPHAN HYDROBROMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D003371 (Cough);MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant);UseClass:8085 (anti-tussive)					
BRD-K24084088-001-02-2	BRD-K24084088	PARAXANTHINE	MicroSource Discovery Systems Inc.	yes			"GO:0001609 (activates adenosine receptor activity, G-protein coupled)"							
BRD-K24621118-001-02-5	BRD-K24621118	ACTINONIN	MicroSource Discovery Systems Inc.	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)					
BRD-K24689407-001-04-8	BRD-K24689407	Bromo-7-nitroindazole [3-Bromo-7-nitroindazole]	Biomol International Inc.	yes			GO:0004517 (inhibits nitric-oxide synthase activity)							
BRD-K25394294-001-05-7	BRD-K25394294	Oxaprozin	Prestwick Chemical Inc.	yes			GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)					
BRD-K25650355-059-02-3	BRD-K25650355	PHYSOSTIGMINE SALICYLATE	MicroSource Discovery Systems Inc.	yes				MeSH:D005901 (Glaucoma)	UseClass:8134 (miotic)					
BRD-K26117720-001-02-2	BRD-K26117720	GINGEROL	Biomol International Inc.	yes					UseClass:8102 (anti-coagulant)					
BRD-K26739552-003-05-5	BRD-K26739552	Fenspiride hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8088 (bronchodilator)					
BRD-K27217864-001-05-8	BRD-K27217864	Butamben	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K27316855-001-02-6	BRD-K27316855	"1,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	yes			GO:0004697 (activates protein kinase C activity);GO:0003700 (binds sequence-specific DNA binding transcription factor activity)		UseClass:8065 (anti-proliferative)					
BRD-K27450477-001-03-9	BRD-K27450477	EHNA	Biomol International Inc.	yes		GeneID:5138 (inhibits PDE2A)	GO:0004000 (inhibits adenosine deaminase activity)							
BRD-K27721098-065-02-9	BRD-K27721098	CLOPIDOGREL SULFATE	MicroSource Discovery Systems Inc.	yes		GeneID:64805 (inhibits P2RY12)		MeSH:D013927 (Thrombosis)	UseClass:8102 (anti-coagulant)					
BRD-K27737647-001-04-2	BRD-K27737647	H-89	Biomol International Inc.	yes			GO:0004691 (inhibits cAMP-dependent protein kinase activity)							
BRD-K28210218-236-05-7	BRD-K28210218	Cephalothin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K28307902-001-05-0	BRD-K28307902	Flutamide	Prestwick Chemical Inc.	yes		GeneID:367 (inhibits AR)		MeSH:D006628 (Hirsutism);MeSH:D011471 (Prostatic Neoplasms)	UseClass:8144 (hormone antagonist)					
BRD-K28494619-001-05-0	BRD-K28494619	Sulfamethoxazole	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)	GO:0004156 (binds dihydropteroate synthase activity)	"MeSH:D001424 (Bacterial Infections);MeSH:D004751 (Enteritis);""MeSH:D018410 (Pneumonia, Bacterial)"";MeSH:D014552 (Urinary Tract Infections)"	UseClass:8104 (anti-bacterial)					
BRD-K28936863-051-05-8	BRD-K28936863	Ketotifen fumarate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)		MeSH:D001249 (Asthma);MeSH:D011537 (Pruritus)	UseClass:8078 (anti-asthmatic);UseClass:8072 (anti-histamine);UseClass:8122 (anti-pruritic)					
BRD-K29359156-001-06-1	BRD-K29359156	Ebselen	Biomol International Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D008107 (Liver Diseases);MeSH:D020521 (Stroke)	UseClass:8071 (anti-inflammatory);UseClass:8137 (anti-oxidant)					
BRD-K29458283-001-05-9	BRD-K29458283	Chlorambucil	Prestwick Chemical Inc.	yes				MeSH:D001943 (Breast Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K29555132-001-02-2	BRD-K29555132	ARACHIDONAMIDE	Biomol International Inc.	yes		GeneID:1268 (activates CNR1);GeneID:1269 (activates CNR2)								
BRD-K29582677-001-02-7	BRD-K29582677	FLUNARIZINE	Biomol International Inc.	yes			GO:0008332 (inhibits low voltage-gated calcium channel activity);GO:0005272 (inhibits sodium channel activity)		UseClass:8114 (neuroprotective agent);UseClass:8092 (vasodilator)					
BRD-K29582677-300-05-6	BRD-K29582677	Flunarizine dihydrochloride	Prestwick Chemical Inc.	yes			GO:0008332 (inhibits low voltage-gated calcium channel activity);GO:0005272 (inhibits sodium channel activity)		UseClass:8114 (neuroprotective agent);UseClass:8092 (vasodilator)					
BRD-K29950728-048-02-6	BRD-K29950728	CLOMIPHENE CITRATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-K30199352-001-02-9	BRD-K30199352	"ANANDAMIDE (22:4,n-6)"	Biomol International Inc.	yes			GO:0004949 (binds cannabinoid receptor activity)							
BRD-K30240666-051-05-0	BRD-K30240666	Clemastine fumarate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-K30421593-050-02-3	BRD-K30421593	TIMOLOL MALEATE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000429 (inhibits Beta adrenergic receptor)	GeneID:154 (inhibits ADRB2)								
BRD-K30553453-001-05-8	BRD-K30553453	Hesperetin	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms);MeSH:D013035 (Spasm)	UseClass:8066 (anti-neoplastic);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K31023358-001-02-4	BRD-K31023358	PURPUROGALLIN	MicroSource Discovery Systems Inc.	yes		GeneID:1956 (inhibits EGFR)								
BRD-K31491153-003-02-6	BRD-K31491153	1-PHENYLBIGUANIDE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000421 (activates 5-hydroxytryptamine 3 receptor)				UseClass:8113 (cns agent)					
BRD-K31611373-001-02-7	BRD-K31611373	FLUPROSTENOL	Biomol International Inc.	yes		GeneID:5737 (activates PTGFR)								
BRD-K31682896-001-05-9	BRD-K31682896	Sulfamethizole	Prestwick Chemical Inc.	yes			GO:0046656 (inhibits folic acid biosynthetic process)	MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K32164935-001-06-8	BRD-K32164935	TOLAZAMIDE	Biomol International Inc.	yes				MeSH:D044882 (Glucose Metabolism Disorders)						
BRD-K32247306-001-05-4	BRD-K32247306	PRIMIDONE	Biomol International Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)					
BRD-K32256916-001-02-4	BRD-K32256916	CINNARAZINE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)								
BRD-K32273377-001-05-4	BRD-K32273377	Sulfadiazine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K32821942-001-05-6	BRD-K32821942	Azathioprine	Prestwick Chemical Inc.	yes				"MeSH:D001172 (Arthritis, Rheumatoid)"	UseClass:8070 (immunosuppressive agent)					
BRD-K33204703-001-04-6	BRD-K33204703	AG-370	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR);GeneID:5159 (inhibits PDGFRB)								
BRD-K33710385-001-05-4	BRD-K33710385	Ethionamide	Prestwick Chemical Inc.	yes				MeSH:D014376 (Tuberculosis)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K33986892-001-02-3	BRD-K33986892	BENTAZON	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K34388247-236-02-5	BRD-K34388247	METHICILLIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K34415467-003-05-6	BRD-K34415467	Trimethobenzamide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic)					
BRD-K34776109-001-03-4	BRD-K34776109	Glimepiride	Prestwick Chemical Inc.	yes				"MeSH:D003924 (Diabetes Mellitus, Type 2)"						
BRD-K34782918-001-02-5	BRD-K34782918	PROSTAGLANDIN A2	Biomol International Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K35941380-001-01-7	BRD-K35941380	METHYSERGIDE	Biomol International Inc.	yes		GeneID:3358 (inhibits HTR2C)								
BRD-K35960502-001-06-9	BRD-K35960502	Niclosamide	Prestwick Chemical Inc.	yes				MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic)					
BRD-K36116267-001-05-4	BRD-K36116267	Pyrithyldione	Prestwick Chemical Inc.	yes					UseClass:8115 (hypnotic);UseClass:8116 (sedative)					
BRD-K36851334-001-03-0	BRD-K36851334	TRIM	Biomol International Inc.	yes			GO:0004517 (inhibits nitric-oxide synthase activity)							
BRD-K36862742-001-05-8	BRD-K36862742	Hydroflumethiazide	Prestwick Chemical Inc.	yes					UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-K36927236-001-06-0	BRD-K36927236	GLYBURIDE	Biomol International Inc.	yes		GeneID:3762 (inhibits KCNJ5)	GO:0015272 (inhibits ATP-activated inward rectifier potassium channel activity);GO:0005267 (inhibits potassium channel activity)	"MeSH:D003924 (Diabetes Mellitus, Type 2)"	UseClass:8094 (vasoconstrictor)					
BRD-K37249724-001-05-9	BRD-K37249724	Astemizole	Prestwick Chemical Inc.	yes		GeneID:3269 (binds HRH1);GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-K37270826-001-04-5	BRD-K37270826	Mifepristone	Prestwick Chemical Inc.	yes		GeneID:5243 (inhibits ABCB1)	GO:0001525 (inhibits angiogenesis);GO:0004883 (inhibits glucocorticoid receptor activity)							
BRD-K37289225-001-09-1	BRD-K37289225	CLOZAPINE	Biomol International Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:1813 (inhibits DRD2);GeneID:1815 (inhibits DRD4)			UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8115 (hypnotic);UseClass:8116 (sedative)					
BRD-K37561857-001-04-9	BRD-K37561857	zardaverine	Biomol International Inc.	yes	CBPROTID:1000641 (inhibits cAMP phosphodiesterase III)		"GO:0004115 (inhibits 3',5'-cyclic-AMP phosphodiesterase activity)"							
BRD-K37682401-001-05-1	BRD-K37682401	Piromidic acid	Prestwick Chemical Inc.	yes				MeSH:D016905 (Gram-Negative Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K37688416-003-05-7	BRD-K37688416	Fipexide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8113 (cns agent)					
BRD-K37694030-003-02-8	BRD-K37694030	DOXEPIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1);GeneID:3274 (inhibits HRH2)		MeSH:D003863 (Depression);MeSH:D011537 (Pruritus)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine);UseClass:8122 (anti-pruritic);UseClass:8116 (sedative)					
BRD-K37846922-001-05-2	BRD-K37846922	DIINDOLYLMETHANE	Biomol International Inc.	yes		GeneID:196 (affects AHR)	"GO:0006915 (activates apoptosis);""GO:0016712 (inhibits oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)"""		UseClass:8137 (anti-oxidant)					
BRD-K38197229-001-06-7	BRD-K38197229	bumetanide	Biomol International Inc.	yes		GeneID:6557 (binds SLC12A1)	GO:0006816 (inhibits calcium ion transport);GO:0006813 (inhibits potassium ion transport);GO:0006814 (inhibits sodium ion transport)		UseClass:8153 (diuretic)					
BRD-K38251852-001-02-5	BRD-K38251852	PAXILLINE	Biomol International Inc.	yes			GO:0015269 (inhibits calcium-activated potassium channel activity)							
BRD-K38305202-001-02-6	BRD-K38305202	DOMPERIDONE	Biomol International Inc.	yes		GeneID:1813 (inhibits DRD2)								
BRD-K38323065-001-05-8	BRD-K38323065	Phenacetin	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D009437 (Neuralgia)	UseClass:8075 (anti-pyretic)					
BRD-K38347298-001-02-3	BRD-K38347298	8-CYCLOPENTYLTHEOPHYLLINE	MicroSource Discovery Systems Inc.	yes		GeneID:134 (activates ADORA1)								
BRD-K38436528-003-05-5	BRD-K38436528	Imipramine hydrochloride	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K39987650-001-05-0	BRD-K39987650	Bisacodyl	Prestwick Chemical Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)					
BRD-K40227168-001-06-1	BRD-K40227168	Eburnamonine (-)	Prestwick Chemical Inc.	yes					UseClass:8092 (vasodilator)					
BRD-K40887525-001-02-9	BRD-K40887525	RITANSERIN	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:1813 (inhibits DRD2);GeneID:3357 (inhibits HTR2B)		MeSH:D006973 (Hypertension);MeSH:D010300 (Parkinson Disease)	UseClass:8091 (anti-hypertensive);UseClass:8113 (cns agent)					
BRD-K40919711-001-02-4	BRD-K40919711	BAPTA-AM	Biomol International Inc.	yes			GO:0006611 (inhibits protein export from nucleus)							
BRD-K41406082-001-05-5	BRD-K41406082	Sulfapyridine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K41567533-001-02-6	BRD-K41567533	COUMOPHOS	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
BRD-K41707108-001-03-1	BRD-K41707108	C2 CERAMIDE	Biomol International Inc.	yes		GeneID:5601 (activates MAPK9);GeneID:29477 (Mapt)	GO:0000187 (activates activation of MAPK activity);GO:0006915 (activates apoptosis);GO:0008283 (activates cell proliferation);GO:0006928 (activates cellular component movement);GO:0006309 (activates DNA fragmentation involved in apoptotic nuclear change);GO:0050115 (activates myosin-light-chain-phosphatase activity);GO:0051092 (activates positive regulation of NF-kappaB transcription factor activity);GO:0004722 (activates protein serine/threonine phosphatase activity);GO:0016462 (activates pyrophosphatase activity);GO:0030154 (affects cell differentiation);GO:0008283 (affects cell proliferation);GO:0008104 (affects protein localization);GO:0030036 (inhibits actin cytoskeleton organization);GO:0016049 (inhibits cell growth);GO:0031175 (inhibits neuron projection development);GO:0048812 (inhibits neuron projection morphogenesis);GO:0004630 (inhibits phospholipase D activity);GO:0006366 (inhibits transcription from RNA polymerase II promoter)							
BRD-K41713976-001-02-0	BRD-K41713976	E-4031	Biomol International Inc.	yes			GO:0005242 (inhibits inward rectifier potassium channel activity)							
BRD-K41996876-001-05-5	BRD-K41996876	tyrphostin 1	Biomol International Inc.	yes		GeneID:7297 (affects TYK2);GeneID:1956 (inhibits EGFR)	GO:0006468 (inhibits protein phosphorylation)							
BRD-K42095107-001-05-6	BRD-K42095107	DAIDZEIN	Biomol International Inc.	yes			GO:0004683 (inhibits calmodulin-dependent protein kinase activity)	MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic);UseClass:8137 (anti-oxidant)					
BRD-K42348709-003-05-7	BRD-K42348709	Cyclobenzaprine hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)		GO:0007210 (affects serotonin receptor signaling pathway)		UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K43149758-001-04-5	BRD-K43149758	Myricetin	Prestwick Chemical Inc.	yes			GO:0004691 (inhibits cAMP-dependent protein kinase activity);GO:0004428 (inhibits inositol or phosphatidylinositol kinase activity);GO:0004697 (inhibits protein kinase C activity)							
BRD-K43383936-001-02-9	BRD-K43383936	FLOPROPIONE	MicroSource Discovery Systems Inc.	yes		GeneID:3350 (inhibits HTR1A)		MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K43797669-001-03-1	BRD-K43797669	GENISTEIN	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)	GeneID:57468 (inhibits SLC12A5)	GO:0004713 (inhibits protein tyrosine kinase activity)		UseClass:8066 (anti-neoplastic)					
BRD-K44067360-001-06-3	BRD-K44067360	FLUFENAMIC ACID	Biomol International Inc.	yes			GO:0006816 (inhibits calcium ion transport)	MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8065 (anti-proliferative)					
BRD-K44273375-001-04-5	BRD-K44273375	Tolnaftate	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)					
BRD-K44849676-001-03-0	BRD-K44849676	capsazepine	Biomol International Inc.	yes		GeneID:7442 (inhibits TRPV1)	GO:0005245 (inhibits voltage-gated calcium channel activity)							
BRD-K44876623-001-01-1	BRD-K44876623	ZOLPIDEM	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000342 (activates Gamma-aminobutyric acid receptor)	GeneID:706 (activates TSPO)		MeSH:D007319 (Sleep Initiation and Maintenance Disorders)	UseClass:8113 (cns agent)					
BRD-K45033733-001-02-3	BRD-K45033733	FAMCICLOVIR	MicroSource Discovery Systems Inc.	yes				MeSH:D006566 (Herpesviridae Infections)	UseClass:8106 (anti-viral)					
BRD-K45071273-003-05-8	BRD-K45071273	Tetracaine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K45401373-001-05-0	BRD-K45401373	Betulinic acid	Biomol International Inc.	yes				MeSH:D014777 (Virus Diseases)	UseClass:8106 (anti-viral)					
BRD-K45542189-048-05-6	BRD-K45542189	Diethylcarbamazine citrate	Prestwick Chemical Inc.	yes				MeSH:D010272 (Parasitic Diseases)	UseClass:8107 (anti-parasitic)					
BRD-K46211610-003-05-1	BRD-K46211610	Tolazoline hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8092 (vasodilator)					
BRD-K46317332-003-06-1	BRD-K46317332	Proadifen hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4842 (inhibits NOS1)	GO:0032310 (activates prostaglandin secretion);GO:0017144 (inhibits drug metabolic process);GO:0006809 (inhibits nitric oxide biosynthetic process);GO:0005267 (inhibits potassium channel activity)							
BRD-K46435977-003-01-2	BRD-K46435977	VALACYCLOVIR HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006566 (Herpesviridae Infections)	UseClass:8106 (anti-viral)					
BRD-K46523383-003-04-7	BRD-K46523383	Pramoxine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K46937689-001-05-1	BRD-K46937689	Antipyrine	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)					
BRD-K46982791-001-02-9	BRD-K46982791	CLOXYQUIN	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal)					
BRD-K47105409-001-05-3	BRD-K47105409	AG-490	Biomol International Inc.	yes		GeneID:3717 (inhibits JAK2);GeneID:16453 (inhibits Jak3);GeneID:3718 (inhibits JAK3);GeneID:20846 (inhibits Stat1);GeneID:20848 (inhibits Stat3)	GO:0006915 (activates apoptosis);GO:0007165 (affects signal transduction);GO:0050798 (inhibits activated T cell proliferation);GO:0018108 (inhibits peptidyl-tyrosine phosphorylation);GO:0042098 (inhibits T cell proliferation);GO:0042508 (inhibits tyrosine phosphorylation of Stat1 protein);GO:0042503 (inhibits tyrosine phosphorylation of Stat3 protein);GO:0042506 (inhibits tyrosine phosphorylation of Stat5 protein)							
BRD-K47192521-001-02-1	BRD-K47192521	EICOSAPENTAENOIC ACID (20:5 n-3)	Biomol International Inc.	yes				MeSH:D002318 (Cardiovascular Diseases);MeSH:D007249 (Inflammation)						
BRD-K47278471-003-05-7	BRD-K47278471	Diphenhydramine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-K47323024-003-05-3	BRD-K47323024	Methapyrilene hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine);UseClass:8116 (sedative)					
BRD-K47407372-001-05-6	BRD-K47407372	Nifenazone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)					
BRD-K47598052-001-04-2	BRD-K47598052	PP1	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	GO:0004713 (inhibits protein tyrosine kinase activity)							
BRD-K47631482-003-02-1	BRD-K47631482	BROMHEXINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8137 (anti-oxidant);UseClass:8087 (expectorant);UseClass:8086 (mucolytic)					
BRD-K47886988-323-03-0	BRD-K47886988	Nalidixic acid sodium salt hydrate	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K47936004-001-01-9	BRD-K47936004	PIRIBEDIL	Biomol International Inc.	yes			GO:0004952 (activates dopamine receptor activity)							
BRD-K47936004-003-03-1	BRD-K47936004	Piribedil hydrochloride	Prestwick Chemical Inc.	yes			GO:0004952 (activates dopamine receptor activity)							
BRD-K48168960-001-05-1	BRD-K48168960	Propylthiouracil	Prestwick Chemical Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-K49481516-004-04-3	BRD-K49481516	Galanthamine hydrobromide	Prestwick Chemical Inc.	yes		GeneID:43 (inhibits ACHE)	GO:0004104 (inhibits cholinesterase activity)	MeSH:D000544 (Alzheimer Disease);MeSH:D010146 (Pain)	UseClass:8081 (analgesic)					
BRD-K49535716-001-02-4	BRD-K49535716	"7,8-DIHYDROXYFLAVONE"	MicroSource Discovery Systems Inc.	yes				MeSH:D006470 (Hemorrhage)	UseClass:8101 (anti-hemorrhagic);UseClass:8153 (diuretic)					
BRD-K49671696-001-02-1	BRD-K49671696	KETANSERIN	Biomol International Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:3356 (inhibits HTR2A);GeneID:3358 (inhibits HTR2C)								
BRD-K49671696-347-02-8	BRD-K49671696	Ketanserin tartrate hydrate	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:3356 (inhibits HTR2A);GeneID:3358 (inhibits HTR2C)								
BRD-K49685476-001-02-7	BRD-K49685476	TTNPB	Biomol International Inc.	yes			GO:0003708 (activates retinoic acid receptor activity)							
BRD-K50343025-001-02-5	BRD-K50343025	PROPACHLOR	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K50388907-001-05-6	BRD-K50388907	Fenofibrate	Prestwick Chemical Inc.	yes		GeneID:5465 (activates PPARA)		MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)					
BRD-K50398167-236-02-9	BRD-K50398167	MECLOFENAMATE SODIUM	MicroSource Discovery Systems Inc.	yes		GeneID:240 (inhibits ALOX5)	GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)	MeSH:D005334 (Fever);MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-K50398167-323-03-3	BRD-K50398167	Meclofenamic acid sodium salt monohydrate	Prestwick Chemical Inc.	yes		GeneID:240 (inhibits ALOX5)	GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)	MeSH:D005334 (Fever);MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-K50711164-001-02-4	BRD-K50711164	PENTACHLOROPHENOL	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide);UseClass:8149 (insecticide)					
BRD-K50859149-001-05-4	BRD-K50859149	Sulfisoxazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K50938287-001-01-7	BRD-K50938287	SUMATRIPTAN	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000384 (activates 5-hydroxytryptamine 1 receptor)	GeneID:3351 (activates HTR1B);GeneID:3352 (activates HTR1D);GeneID:3355 (activates HTR1F);GeneID:3357 (activates HTR2B)		MeSH:D003027 (Cluster Headache);MeSH:D008881 (Migraine Disorders)	UseClass:8113 (cns agent)					
BRD-K51215422-001-02-3	BRD-K51215422	A-3	Biomol International Inc.	yes			GO:0004672 (inhibits protein kinase activity)							
BRD-K51742987-001-02-3	BRD-K51742987	AESCULIN	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-K51799616-001-02-2	BRD-K51799616	DICHLORODIPHENYLTRICHLOROETHANE	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
BRD-K52397688-001-01-9	BRD-K52397688	Amperozide	Biomol International Inc.	yes		GeneID:3356 (inhibits HTR2A)	GO:0060986 (activates endocrine hormone secretion);GO:0014046 (inhibits dopamine secretion)							
